"arxiv_id","canonical_title","year","in_brief","brief_label","verification_status","mechanism_manipulated","authoritative_policy_source","number_of_principals","agents_or_models","attacker_type","defender_visibility","multi_agent_causal_control","defense_evaluated","conclusion_scope","source_url","audit_notes"
"2606.13994","Hidden in Plain Sight: Benchmarking Agent Safety Against Decomposition Attacks with DECOMPBENCH","2026","yes","DeCompBench","verified_shorthand","Harmful intent is decomposed into independent benign-looking subtasks; conversation state is cleared between victim calls while environment state persists, bundling decomposition with context loss.","Provider/model refusal safeguards; benchmark checkpoints define global harmful completion; no executable application policy.","1 provider/safety principal plus 1 malicious user; fresh victim calls are not separate authority principals.","One victim agent service invoked repeatedly through fresh sessions.","Black-box malicious user assisted by an LLM decomposer.","Each victim call sees only its current subtask; no cross-call monitor; environment state persists.","no: monolithic prompts are compared with multiple stateless calls, so prompt granularity and context retention both change; not a single-versus-multi-agent architecture control.","None evaluated; benchmark leaves defense development to future work.","mechanism-specific: independent-subtask decomposition under provider safeguards.","https://arxiv.org/abs/2606.13994","A multi-session decomposition study, not a genuine multi-agent causal comparison."
"2606.09084","Context-Fractured Decomposition Attacks on Tool-Using LLM Agents: Exploiting Artifact Provenance Gaps","2026","yes","Context-Fractured Decomposition","verified_shorthand","Semantic decomposition, cross-session memory fracture, and artifact-mediated transfer jointly exploit missing causal provenance.","System defense prompt and model safeguards locally; AgentDojo goals/artifacts and an offline evaluator define global harm.","1 benchmark/system policy principal plus 1 attacker; victim roles do not have distinct legitimate authority.","Four victim-agent roles in the harness, including an optional advisor.","External malicious user whose unrestricted planner produces subgoals.","Local monitor sees current prompt and immediate tool interaction but not artifact lineage; trace-omniscient evaluator sees full trace and artifacts.","partial: memory/visibility variations and counterfactual probes are useful, but decomposition, context reset, artifact transfer, and topology are not isolated as one matched factor.","Strong local judge and trace-omniscient upper bound evaluated; provenance lineage tagging is proposed.","mechanism-specific: context fracture through artifact provenance gaps.","https://arxiv.org/abs/2606.09084","Do not interpret its attack success as a pure effect of agent count."
"2505.21184","Jailbreak-as-a-Service++: Unveiling Distributed AI-Driven Malicious Information Campaigns Powered by LLM Crowdsourcing","2025","yes","PoisonSwarm","verified_id_title_mismatch","Counterfactual task mapping, semantic decomposition/unit toxification, and scheduling across heterogeneous providers bundle decomposition, heterogeneity, and information isolation.","Each provider's independent safety policy; ALERT/MHS tasks and an evaluator define campaign success; no shared authoritative policy.","Multiple provider principals; main workflow uses 3 model roles and governance simulation models 5 providers; 1 centralized adversary.","Three model roles in the main workflow; multiple models/providers in experiments.","Malicious user/scheduler using multiple models, accounts, or providers.","Each provider normally sees its own requests/accounts; simulations vary local, regional, or global fingerprint sharing and guardrail strength.","partial: ablations and individual-model comparisons are informative, but decomposition, model heterogeneity, and provider isolation remain bundled.","Simulated fingerprint sharing, probabilistic provider guardrails, account banning/cross-provider coordination, and detection.","scoped generalization: distributed cross-provider crowdsourcing, not every local-allow/global-harm mechanism.","https://arxiv.org/abs/2505.21184","PoisonSwarm is the framework name, not the canonical paper title."
"2604.22879","Beyond Single-Agent Alignment: Preventing Context-Fragmented Violations in Multi-Agent Systems","2026","yes","Context-Fragmented Violations","verified_shorthand","Organization-wide policy facts are split across private domain graphs, allowing cross-domain semantic laundering or violation without any one agent seeing the whole invariant.","Author-defined organizational invariants backed by a structured registry and authorization matrix.","1 organization-level policy principal; policy facts are distributed across 17 agents in 7 domains.","17 agents across 7 organizational domains in PhantomEcosystem.","Primarily structural/benign over-compliance; threat discussion also permits malicious or colluding participants.","Each agent sees its domain model; sidecars mediate messages/tool calls, exchange signed metadata, and issue boolean cross-domain policy queries; a central checker is the stronger reference.","partial: cross-domain/same-domain cases and centralized checks help, but there is no clean randomized single-agent/full-policy versus fragmented multi-agent contrast for the same workflow.","Distributed Sentinel; prompt firewall, rule DLP, partial monolithic sentinel, LLM judge, and central policy checker baselines.","scoped generalization: distributed organizational workflows with private policy fragments and mediated communication.","https://arxiv.org/abs/2604.22879","Strongly relevant multi-agent paper, but causal isolation of fragmentation is incomplete."
"2608.07556","MasDrift: Benchmarking Authorization Preservation Across Multi-Agent Architectures","2026","yes","MasDrift","verified_exact","Authorization and constraints drift as a request is delegated through centralized or decentralized coordination topologies.","Original user's request and task-specific critical constraint/reserved actions.","1 human user principal; 1-8 delegate agents.","Single agent or centralized/decentralized structures with up to 8 agents.","None in the primary benchmark; violations arise from ordinary coordination and over-completion.","Source anchoring sees original request, public tool surface, and pending call; chain enforcement sees carried parent policy and delegated subtask; offline scoring sees complete trace.","yes: same 600 tasks and tools are run under single-agent and centralized/decentralized multi-agent topologies; count, depth, handoffs, and tool exposure still co-vary within scaling.","Source-anchored reference monitor and monotone authorization-carrying chain compared with no defense.","scoped generalization: authorization preservation and architecture-induced drift; strongest architecture-level causal evidence in this set.","https://arxiv.org/abs/2608.07556","Closest methodological precedent for a controlled single-agent versus multi-agent comparison."
"2605.26542","ChainCaps: Composition-Safe Tool-Using Agents via Monotonic Capability Attenuation","2026","yes","ChainCaps","verified_exact","Explicit data is permission-laundered through individually allowed source, transform, and sink tool calls.","Deployment-operator manifests assigning source budgets, sink privileges, and pass-through rules.","1 deployment policy principal and 1 tool-using agent; tools are resources, not policy principals.","One agent with multiple tools/servers.","Direct or indirect prompt injector controlling prompts, retrieved content, or tool output; benign workflows can also create risky flow.","Transparent MCP proxy sees mediated tool calls/results, source identities, sinks, and explicit data flow; not covert channels, hidden model state, OS effects, or bypassed tools.","no: with/without-defense runs use single tool-using agents; no matched single-versus-multi-agent comparison.","Monotonic sink-specific capability attenuation, lineage, explicit declassification, and fail-closed enforcement; compared with modeled scalar IFC/PFI alternatives.","mechanism-specific: operator-modeled proxy-visible explicit data flow under trusted manifests.","https://arxiv.org/abs/2605.26542","Relevant defense architecture, but not empirical evidence about multi-agent causation."
"2608.22868","AgentFlow: A Flow-Centric Policy Language and Framework for Securing LLM Agent Systems","2026","yes","AgentFlow","verified_exact","No single mechanism isolated; framework models policy-visible paths involving tainted data, trust laundering, malicious tools, and delegated or compromised agents.","Application/deployment operator's declarative flow policy plus user task scope.","Not fixed; typically 1 operator/application principal plus a user delegator, with optional subagents and tools.","Variable agents, subagents, and tools.","Indirect prompt injector, malicious tool provider, or compromised subagent.","Trusted reference monitor observes mediated tool calls, delegation, modeled response sinks, provenance/taint, and session paths; unmediated paths/covert channels are outside scope.","no: evaluation compares framework conditions on agent benchmarks/replays; optional delegation is modeled but agent multiplicity is not isolated.","Declarative flow/path rules, task-scoped capabilities, runtime taint/provenance enforcement, and bounded SMT verification.","scoped generalization: configured mediated policy-visible flows, not all unsafe behavior.","https://arxiv.org/abs/2608.22868","Useful policy and enforcement substrate rather than an isolated causal study."
"2607.07097","Operational Reframing and Approval-Framed Delegation in Multi-Agent LLM Safety","2026","yes","Operational Reframing","verified_shorthand","Five prompt-routing conditions contrast direct requests, planner outputs, operational reframing, and approval-framed delegation; adjacent contrasts are not pure causal factors.","Model-provider refusal/alignment behavior; author scenarios and an LLM judge label harmful completion; no executable local policy.","1 safety-policy principal plus 1 malicious user; planner and executor are execution roles rather than independent legitimate authorities.","Two roles: planner and executor.","External malicious user controls task description but not system prompts, tools, memory, or architecture.","Executor sees routed task or planner output, sometimes framed as approved; no external trace monitor; skeptical prompt forces independent safety review.","partial: five conditions isolate useful routing contrasts, including direct and planner/executor paths, but are not pure factors and remain prompt-only.","Skeptical-executor system prompt; intent-level evaluation recommended.","mechanism-specific: approval framing and prompt routing; pipeline aggregates do not justify a general composition claim.","https://arxiv.org/abs/2607.07097","Relevant contrast design, but not an executed tool-policy study."
"2407.02551","Breach By A Thousand Leaks: Unsafe Information Leakage in 'Safe' AI Responses","2024","no","","verified_added","A prohibited question is decomposed into benign dual-intent queries whose individually safe answers jointly reveal restricted information.","Victim provider's filters/alignment; WMDP concepts specify impermissible information for evaluation.","1 victim/provider policy principal plus 1 adversary.","Victim model plus adversary model/query process.","Query-bounded black-box inferential adversary assisted by an adversary LLM.","Victim filters see individual queries/responses, not the adversary's accumulated knowledge or hidden global goal; adversary sees and aggregates transcript.","no: repeated querying of a victim model, not a single/full-context versus multi-agent comparison.","Information-censorship formulation and randomized-response mechanism with safety/utility analysis.","scoped generalization: inferential leakage under a query-bounded adversary.","https://arxiv.org/abs/2407.02551","Added because it cleanly motivates locally safe responses composing into global information harm."
"2406.14595","Adversaries Can Misuse Combinations of Safe Models","2024","no","","verified_added","A malicious task is decomposed across complementary models, often pairing a capable aligned model on benign-hard subtasks with a weaker model on malicious-easy subtasks; decomposition and heterogeneity change together.","Each model developer's safety policy; task-specific success predicate evaluates composite attack.","At least 2 independent model/provider principals per combination plus 1 adversary.","Typically two or more models selected sequentially.","Bounded human or automated adversary selecting models and prompts sequentially.","Each provider/model normally sees only its routed prompt; adversary sees cross-model transcript and global goal.","partial: combinations are compared with component models in isolation, but decomposition and heterogeneous capability/safety profiles change together.","No concrete runtime defense evaluated; ecosystem-level combination testing and deployment risk analysis recommended.","scoped generalization: malicious composition of complementary models with ecosystem implications.","https://arxiv.org/abs/2406.14595","Added as early direct evidence on cross-model composition and independent safety boundaries."
